Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,3675.0,3675.0,3675.0,3675.0,2831.107666015625,0
2019-02-06,3725.0,3762.5,3712.5,3737.5,2879.255615234375,60281400
2019-02-07,3737.5,3775.0,3712.5,3775.0,2908.144287109375,31622800
2019-02-08,3750.0,3787.5,3712.5,3787.5,2917.7744140625,46828400
2019-02-11,3800.0,3812.5,3762.5,3812.5,2937.033447265625,72358200
2019-02-12,3837.5,3837.5,3687.5,3712.5,2859.99658203125,82644200
2019-02-13,3712.5,3737.5,3625.0,3625.0,2792.58935546875,75046400
2019-02-14,3675.0,3687.5,3587.5,3587.5,2763.700439453125,95699000
2019-02-15,3575.0,3612.5,3550.0,3587.5,2763.700439453125,92002800
2019-02-18,3650.0,3650.0,3587.5,3637.5,2802.21875,86216800
2019-02-19,3637.5,3662.5,3562.5,3600.0,2773.329833984375,92714200
2019-02-20,3625.0,3625.0,3475.0,3550.0,2734.8115234375,192881200
2019-02-21,3562.5,3662.5,3550.0,3662.5,2821.477783203125,100203800
2019-02-22,3637.5,3650.0,3525.0,3550.0,2734.8115234375,167596800
2019-02-25,3575.0,3625.0,3562.5,3625.0,2792.58935546875,91520000
2019-02-26,3637.5,3637.5,3575.0,3637.5,2802.21875,94091000
2019-02-27,3600.0,3637.5,3575.0,3600.0,2773.329833984375,72356800
2019-02-28,3612.5,3625.0,3550.0,3562.5,2744.44091796875,84980200
2019-03-01,3575.0,3612.5,3562.5,3587.5,2763.700439453125,47003200
2019-03-04,3587.5,3587.5,3550.0,3550.0,2734.8115234375,29659800
2019-03-05,3525.0,3562.5,3400.0,3475.0,2677.033935546875,223113200
2019-03-06,3500.0,3537.5,3437.5,3537.5,2725.181640625,94977600
2019-03-07,3537.5,3537.5,3537.5,3537.5,2725.181640625,0
2019-03-08,3525.0,3525.0,3450.0,3450.0,2657.774658203125,71523400
2019-03-11,3475.0,3475.0,3412.5,3425.0,2638.515380859375,53912400
2019-03-12,3412.5,3437.5,3337.5,3362.5,2590.366943359375,60509600
2019-03-13,3400.0,3400.0,3325.0,3350.0,2580.737548828125,55730600
2019-03-14,3400.0,3462.5,3362.5,3450.0,2657.774658203125,44212200
2019-03-15,3462.5,3550.0,3462.5,3550.0,2734.8115234375,71744400
2019-03-18,3575.0,3612.5,3512.5,3550.0,2734.8115234375,52140200
2019-03-19,3587.5,3700.0,3575.0,3687.5,2840.737060546875,158696000
2019-03-20,3700.0,3725.0,3650.0,3700.0,2850.36669921875,51652800
2019-03-21,3750.0,3762.5,3725.0,3737.5,2879.255615234375,68829800
2019-03-22,3737.5,3750.0,3712.5,3725.0,2869.6259765625,45259400
2019-03-25,3625.0,3662.5,3587.5,3587.5,2763.700439453125,45751600
2019-03-26,3637.5,3675.0,3637.5,3650.0,2811.848388671875,28799400
2019-03-27,3712.5,3712.5,3612.5,3612.5,2782.959716796875,38906600
2019-03-28,3650.0,3687.5,3625.0,3687.5,2840.737060546875,47868600
2019-03-29,3700.0,3750.0,3662.5,3737.5,2879.255615234375,71140200
2019-04-01,3750.0,3762.5,3725.0,3750.0,2888.88525390625,57890600
2019-04-02,3762.5,3762.5,3662.5,3712.5,2859.99658203125,36872800
2019-04-03,3712.5,3712.5,3712.5,3712.5,2859.99658203125,0
2019-04-04,3750.0,3850.0,3750.0,3837.5,2956.292724609375,119083400
2019-04-05,3837.5,3837.5,3775.0,3775.0,2908.144287109375,40534200
2019-04-08,3800.0,3800.0,3687.5,3750.0,2888.88525390625,45862600
2019-04-09,3787.5,3862.5,3775.0,3837.5,2956.292724609375,61437800
2019-04-10,3825.0,3837.5,3762.5,3775.0,2908.144287109375,30552600
2019-04-11,3787.5,3800.0,3700.0,3700.0,2850.36669921875,70389000
2019-04-12,3675.0,3700.0,3650.0,3662.5,2821.477783203125,53372400
2019-04-15,3700.0,3725.0,3662.5,3675.0,2831.107666015625,48251000
2019-04-16,3687.5,3812.5,3675.0,3812.5,2937.033447265625,143066800
2019-04-17,3812.5,3812.5,3812.5,3812.5,2937.033447265625,0
2019-04-18,3900.0,4062.5,3887.5,3900.0,3004.440673828125,243343400
2019-04-19,3900.0,3900.0,3900.0,3900.0,3004.440673828125,0
2019-04-22,3900.0,3937.5,3825.0,3875.0,2985.181640625,69981800
2019-04-23,3850.0,3887.5,3837.5,3837.5,2956.292724609375,65384600
2019-04-24,3850.0,3862.5,3812.5,3837.5,2956.292724609375,55408400
2019-04-25,3825.0,3837.5,3775.0,3825.0,2946.6630859375,111185200
2019-04-26,3775.0,3900.0,3737.5,3862.5,2975.552001953125,150697400
2019-04-29,3850.0,3900.0,3837.5,3887.5,2994.811279296875,112773000
2019-04-30,3912.5,3937.5,3862.5,3862.5,2975.552001953125,103243000
2019-05-01,3862.5,3862.5,3862.5,3862.5,2975.552001953125,0
2019-05-02,3850.0,3862.5,3812.5,3850.0,2965.92236328125,68943800
2019-05-03,3850.0,3850.0,3787.5,3825.0,2946.6630859375,60141600
2019-05-06,3750.0,3787.5,3662.5,3762.5,2898.51513671875,100956600
2019-05-07,3837.5,3837.5,3775.0,3825.0,2946.6630859375,68861800
2019-05-08,3750.0,3787.5,3725.0,3762.5,2898.51513671875,79916800
2019-05-09,3725.0,3787.5,3725.0,3750.0,2888.88525390625,90947000
2019-05-10,3775.0,3787.5,3687.5,3737.5,2879.255615234375,65009400
2019-05-13,3787.5,3825.0,3750.0,3762.5,2898.51513671875,83342800
2019-05-14,3725.0,3762.5,3700.0,3725.0,2869.6259765625,85983800
2019-05-15,3762.5,3800.0,3712.5,3712.5,2859.99658203125,112972400
2019-05-16,3675.0,3725.0,3625.0,3675.0,2831.107666015625,86481000
2019-05-17,3750.0,3750.0,3537.5,3537.5,2725.181640625,59716600
2019-05-20,3500.0,3637.5,3487.5,3612.5,2782.959716796875,93447200
2019-05-21,3637.5,3675.0,3537.5,3625.0,2792.58935546875,128877200
2019-05-22,3662.5,3700.0,3612.5,3650.0,2811.848388671875,88253000
2019-05-23,3675.0,3800.0,3662.5,3787.5,2917.7744140625,65668800
2019-05-24,3800.0,3887.5,3787.5,3850.0,2965.92236328125,99151200
2019-05-27,3800.0,3862.5,3762.5,3862.5,3071.781005859375,144611000
2019-05-28,3850.0,3850.0,3675.0,3687.5,2932.606201171875,298780800
2019-05-29,3725.0,3775.0,3700.0,3775.0,3002.193359375,89397400
2019-05-30,3775.0,3775.0,3775.0,3775.0,3002.193359375,0
2019-05-31,3800.0,3887.5,3775.0,3837.5,3051.89892578125,173453000
2019-06-03,3837.5,3837.5,3837.5,3837.5,3051.89892578125,0
2019-06-04,3837.5,3837.5,3837.5,3837.5,3051.89892578125,0
2019-06-05,3837.5,3837.5,3837.5,3837.5,3051.89892578125,0
2019-06-06,3837.5,3837.5,3837.5,3837.5,3051.89892578125,0
2019-06-07,3837.5,3837.5,3837.5,3837.5,3051.89892578125,0
2019-06-10,3925.0,3975.0,3912.5,3925.0,3121.486083984375,208042400
2019-06-11,3937.5,3950.0,3900.0,3937.5,3131.4267578125,107140400
2019-06-12,3950.0,3950.0,3900.0,3937.5,3131.4267578125,69330800
2019-06-13,3937.5,3950.0,3850.0,3912.5,3111.544921875,63482400
2019-06-14,3937.5,3937.5,3900.0,3912.5,3111.544921875,61672200
2019-06-17,3950.0,3950.0,3900.0,3900.0,3101.60400390625,47269400
2019-06-18,3887.5,3937.5,3887.5,3925.0,3121.486083984375,104106200
2019-06-19,3950.0,4000.0,3937.5,3987.5,3171.191162109375,156615200
2019-06-20,4000.0,4025.0,3962.5,3975.0,3161.250244140625,93589200
2019-06-21,4000.0,4012.5,3950.0,3987.5,3171.191162109375,145919600
2019-06-24,3950.0,4012.5,3950.0,3987.5,3171.191162109375,70252200
2019-06-25,4012.5,4012.5,3962.5,3975.0,3161.250244140625,59303200
2019-06-26,3925.0,4000.0,3925.0,3975.0,3161.250244140625,72115200
2019-06-27,3987.5,4025.0,3987.5,4000.0,3181.13232421875,63152000
2019-06-28,4012.5,4025.0,3987.5,4012.5,3191.0732421875,61888000
2019-07-01,4025.0,4037.5,3987.5,4000.0,3181.13232421875,61455600
2019-07-02,4025.0,4025.0,3987.5,4012.5,3191.0732421875,64875600
2019-07-03,3975.0,4012.5,3975.0,4012.5,3191.0732421875,93933600
2019-07-04,4025.0,4025.0,4000.0,4012.5,3191.0732421875,31578600
2019-07-05,3962.5,4012.5,3862.5,3912.5,3111.544921875,186756200
2019-07-08,3875.0,3937.5,3862.5,3937.5,3131.4267578125,105905600
2019-07-09,3912.5,3962.5,3900.0,3950.0,3141.368408203125,88590800
2019-07-10,3975.0,4000.0,3962.5,3975.0,3161.250244140625,100964600
2019-07-11,4012.5,4025.0,3987.5,4000.0,3181.13232421875,70231200
2019-07-12,4025.0,4062.5,4012.5,4037.5,3210.955322265625,73474000
2019-07-15,4075.0,4087.5,4050.0,4075.0,3240.7783203125,89444800
2019-07-16,4037.5,4062.5,3987.5,4037.5,3210.955322265625,146626400
2019-07-17,4000.0,4025.0,3975.0,3987.5,3171.191162109375,128231000
2019-07-18,3950.0,3975.0,3912.5,3925.0,3121.486083984375,142262000
2019-07-19,3900.0,3950.0,3900.0,3937.5,3131.4267578125,104530000
